state,iron_folic,Anaemic_children,breastfeed_and_adequate_diet
Jammu & Kashmir,27.02272727,39.65909091,22.25909091
Himachal Pradesh,49.525,56.75833333,4.191666667
Punjab,42.835,53.57,4.73
Uttarakhand,26.38461538,42.07692308,9.376923077
Haryana,34.94285714,62.9047619,7.442857143
NCT Delhi,51.55555556,52.4,-0.7125
Rajasthan,16.72727273,49.36363636,3.157575758
Uttar Pradesh,12.28591549,52.09014085,5.322535211
Bihar,9.5,60.7,7.621052632
Sikkim,60.625,37.275,21.15
Arunachal Pradesh,8.3375,35.28125,8.60625
Nagaland,4.281818182,22.85454545,8.211111111
Manipur,31.31111111,24.76666667,18.6
Mizoram,53.1875,27.85,13.8
Tripura,13.325,54.575,6.15
Meghalaya,35.37142857,56.31428571,25.78571429
Assam,33.78518519,46.04074074,8.666666667
West Bengal,29.75789474,46.04074074,17.00526316
Jharkhand,14.94166667,65.45416667,7.879166667
Odisha,38.07666667,53.18333333,9.263333333
Chhattisgarh,28.68888889,49.97777778,9.263333333
Madhya Pradesh,23.032,53.592,6.586
Gujarat,36.55,56.78846154,4.865384615
Daman & Diu,41.75,57.75,-1.05
Maharashtra,40.16857143,54.3,2.405714286
Telangana,51.35,57.52,4.92
Andhra Pradesh,56.5,60.65384615,1.384615385
Karnataka,42.35333333,45.68,-1.513333333
Goa,61.95,30.9,-9.1
Kerala,66.82857143,33.23571429,-2.842857143
Tamil Nadu,62.275,55.265625,-4.40625
Puducherry,74.3,48.15,-4.40625
Andaman & Nicobar Islands,44.1,62.2,5.666666667
